year,quarter,origin_city,destination_city,distance_miles,passengers,avg_fare,largest_carrier,largest_carrier_market_share,largest_carrier_fare,lowest_fare_carrier,lowest_fare_carrier_share,lowest_fare,year_quarter,fare_per_mile
2008,3,"Chicago, IL","Raleigh/Durham, NC",647,1237.6,150.61,AA,0.44,145.24,AA,0.44,145.24,2008_Q3,0.2328
2008,3,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1228.8,313.93,NW,0.6,356.24,FL,0.07,184.03,2008_Q3,0.2793
2008,3,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1227.93,214.52,AA,0.49,221.79,WN,0.25,194.44,2008_Q3,0.2441
2008,3,"Minneapolis/St. Paul, MN","Phoenix, AZ",1276,1227.39,192.19,NW,0.55,188.93,SY,0.11,158.24,2008_Q3,0.1506
2008,3,"Las Vegas, NV","Miami, FL (Metropolitan Area)",2175,1212.28,227.28,AA,0.29,262.04,NK,0.16,143.56,2008_Q3,0.1045
2008,3,"Denver, CO","Kansas City, MO",533,1206.08,129.15,F9,0.36,122.33,F9,0.36,122.33,2008_Q3,0.2423
2008,3,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1203.91,209.99,US,0.62,239.99,B6,0.13,158.96,2008_Q3,0.2849
2008,3,"Buffalo, NY","Orlando, FL",1011,1192.71,134.86,WN,0.43,138.22,FL,0.24,119.85,2008_Q3,0.1334
2008,3,"Las Vegas, NV","Portland, OR",762,1192.6,150.92,AS,0.44,150.95,US,0.18,135.25,2008_Q3,0.1981
2008,3,"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",406,1187.5,155.69,DL,0.6,163.47,FL,0.36,141.98,2008_Q3,0.3835
2008,3,"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",625,1178.58,166.3,AA,0.33,186.92,B6,0.12,140.55,2008_Q3,0.2661
2008,3,"Las Vegas, NV","Salt Lake City, UT",368,1177.6,103.23,WN,0.46,116.04,B6,0.12,79.68,2008_Q3,0.2805
2008,3,"Salt Lake City, UT","Seattle, WA",689,1177.28,152.65,DL,0.52,162.5,WN,0.44,136.71,2008_Q3,0.2216
2008,3,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",1363,1176.3,199.63,WN,0.5,199.34,UA,0.11,198.13,2008_Q3,0.1465
2008,3,"Las Vegas, NV","Minneapolis/St. Paul, MN",1300,1171.52,196.24,NW,0.57,206.97,SY,0.16,155.26,2008_Q3,0.151
2008,3,"Los Angeles, CA (Metropolitan Area)","Reno, NV",415,1170.54,135.18,WN,0.76,135.86,AS,0.13,127.38,2008_Q3,0.3257
2008,3,"Charlotte, NC","Washington, DC (Metropolitan Area)",361,1159.67,200.68,US,0.67,223.73,FL,0.2,119.14,2008_Q3,0.5559
2008,3,"Indianapolis, IN","Orlando, FL",828,1157.82,112.47,FL,0.55,108.54,NW,0.21,108.53,2008_Q3,0.1358
2008,3,"Houston, TX","Orlando, FL",853,1145.86,185.15,CO,0.54,189.9,WN,0.37,177.93,2008_Q3,0.2171
2008,3,"Seattle, WA","Spokane, WA",224,1139.56,98.73,AS,0.77,101.45,WN,0.21,89.35,2008_Q3,0.4408
2008,3,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2585,1128.36,256.41,AA,0.51,270.72,FL,0.02,203.43,2008_Q3,0.0992
2008,3,"Kansas City, MO","New York City, NY (Metropolitan Area)",1148,1127.82,251.1,YX,0.38,263.34,YX,0.38,263.34,2008_Q3,0.2187
2008,3,"Philadelphia, PA","Raleigh/Durham, NC",336,1122.28,109.87,WN,0.59,102.65,WN,0.59,102.65,2008_Q3,0.327
2008,3,"Phoenix, AZ","Portland, OR",1009,1111.41,165.42,AS,0.3,152.43,AS,0.3,152.43,2008_Q3,0.1639
2008,3,"Detroit, MI","Miami, FL (Metropolitan Area)",1145,1104.34,150.7,NK,0.4,109.1,NK,0.4,109.1,2008_Q3,0.1316
2008,3,"Philadelphia, PA","Pittsburgh, PA",267,1104.13,100.44,WN,0.55,87.92,WN,0.55,87.92,2008_Q3,0.3762
2008,3,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",2021,1104.02,255.59,DL,0.65,261.09,B6,0.11,210.89,2008_Q3,0.1265
2008,3,"Boston, MA (Metropolitan Area)","San Diego, CA",2588,1098.26,273.06,B6,0.25,246.71,B6,0.25,246.71,2008_Q3,0.1055
2008,3,"Hartford, CT","Washington, DC (Metropolitan Area)",326,1095.1,157.19,WN,0.74,110.93,WN,0.74,110.93,2008_Q3,0.4822
2008,3,"Detroit, MI","Phoenix, AZ",1671,1094.78,197.86,NW,0.57,184.56,NW,0.57,184.56,2008_Q3,0.1184
2008,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1092.82,262.99,DL,0.63,273.23,FL,0.21,205.78,2008_Q3,0.1205
2008,3,"Minneapolis/St. Paul, MN","Orlando, FL",1310,1084.02,153.18,NW,0.63,158.0,SY,0.12,127.75,2008_Q3,0.1169
2008,3,"Dallas/Fort Worth, TX","New Orleans, LA",448,1078.47,129.17,WN,0.6,129.02,AA,0.36,127.86,2008_Q3,0.2883
2008,3,"New York City, NY (Metropolitan Area)","Portland, OR",2482,1073.04,298.33,CO,0.37,316.43,B6,0.16,255.18,2008_Q3,0.1202
2008,3,"New Orleans, LA","Washington, DC (Metropolitan Area)",998,1069.78,217.48,US,0.29,286.58,DL,0.11,156.29,2008_Q3,0.2179
2008,3,"Boston, MA (Metropolitan Area)","Detroit, MI",632,1063.58,258.36,NW,0.78,271.47,US,0.1,202.87,2008_Q3,0.4088
2008,3,"Austin, TX","New York City, NY (Metropolitan Area)",1559,1063.47,257.03,B6,0.35,227.85,B6,0.35,227.85,2008_Q3,0.1649
2008,3,"Charlotte, NC","Chicago, IL",599,1058.04,217.22,US,0.5,215.97,AA,0.15,191.54,2008_Q3,0.3626
2008,3,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1052.06,227.27,AA,0.75,234.73,FL,0.06,177.61,2008_Q3,0.2027
2008,3,"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)",1814,1047.71,200.04,NW,0.33,195.69,FL,0.1,143.55,2008_Q3,0.1103
2008,3,"Nashville, TN","Washington, DC (Metropolitan Area)",588,1042.71,189.37,WN,0.71,157.97,WN,0.71,157.97,2008_Q3,0.3221
2008,3,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1039.89,282.8,CO,0.61,306.53,WN,0.13,232.09,2008_Q3,0.1758
2008,3,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,1037.71,180.49,WN,0.71,179.71,US,0.13,165.01,2008_Q3,0.2666
2008,3,"Dallas/Fort Worth, TX","Detroit, MI",987,1034.13,212.77,AA,0.49,224.17,NW,0.39,200.26,2008_Q3,0.2156
2008,3,"Chicago, IL","Fort Myers, FL",1120,1030.1,139.97,U5,0.26,116.96,NK,0.2,106.74,2008_Q3,0.125
2008,3,"Boston, MA (Metropolitan Area)","Phoenix, AZ",2300,1023.58,266.19,WN,0.27,244.7,CO,0.17,197.98,2008_Q3,0.1157
2008,3,"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",255,1016.63,152.53,WN,0.51,115.72,WN,0.51,115.72,2008_Q3,0.5982
2008,3,"Hartford, CT","Orlando, FL",1050,1013.91,156.62,WN,0.52,147.79,WN,0.52,147.79,2008_Q3,0.1492
2008,3,"Dallas/Fort Worth, TX","San Diego, CA",1182,997.82,237.02,AA,0.68,248.72,WN,0.15,215.47,2008_Q3,0.2005
2008,3,"Milwaukee, WI","Washington, DC (Metropolitan Area)",641,997.28,138.36,YX,0.48,160.82,FL,0.36,103.12,2008_Q3,0.2159
2008,3,"Jacksonville, FL","Washington, DC (Metropolitan Area)",663,995.1,173.31,WN,0.38,146.32,WN,0.38,146.32,2008_Q3,0.2614
2008,3,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",496,989.78,160.59,US,0.57,174.02,B6,0.23,135.7,2008_Q3,0.3238
2008,3,"Chicago, IL","Omaha, NE",423,986.95,119.08,WN,0.55,110.45,WN,0.55,110.45,2008_Q3,0.2815
2008,3,"Denver, CO","St. Louis, MO",770,986.41,146.62,WN,0.4,136.33,F9,0.32,130.74,2008_Q3,0.1904
2008,3,"Albuquerque, NM","Phoenix, AZ",328,975.86,110.57,WN,0.84,110.04,WN,0.84,110.04,2008_Q3,0.3371
2008,3,"Houston, TX","Philadelphia, PA",1335,970.76,209.18,CO,0.46,226.55,WN,0.24,182.84,2008_Q3,0.1567
2008,3,"Indianapolis, IN","Las Vegas, NV",1591,969.23,151.01,WN,0.37,157.44,FL,0.27,135.65,2008_Q3,0.0949
2008,3,"San Antonio, TX","Washington, DC (Metropolitan Area)",1407,968.58,219.08,WN,0.31,193.62,WN,0.31,193.62,2008_Q3,0.1557
2008,3,"Chicago, IL","Hartford, CT",783,966.95,203.73,UA,0.48,219.69,WN,0.33,172.43,2008_Q3,0.2602
2008,3,"Houston, TX","Miami, FL (Metropolitan Area)",965,959.56,206.29,CO,0.54,219.16,WN,0.2,180.88,2008_Q3,0.2138
2008,3,"Detroit, MI","Tampa, FL (Metropolitan Area)",987,952.71,133.74,NW,0.54,144.31,NK,0.21,98.73,2008_Q3,0.1355
2008,3,"Buffalo, NY","Washington, DC (Metropolitan Area)",296,952.5,118.01,WN,0.83,105.31,WN,0.83,105.31,2008_Q3,0.3987
2008,3,"Nashville, TN","New York City, NY (Metropolitan Area)",803,949.23,266.09,AA,0.37,292.33,WN,0.1,188.3,2008_Q3,0.3314
2008,3,"Indianapolis, IN","Washington, DC (Metropolitan Area)",515,946.52,174.38,WN,0.29,159.38,WN,0.29,159.38,2008_Q3,0.3386
2008,3,"Las Vegas, NV","Milwaukee, WI",1524,943.91,158.23,YX,0.52,158.06,FL,0.36,150.25,2008_Q3,0.1038
2008,3,"Buffalo, NY","Chicago, IL",473,942.6,129.52,WN,0.46,114.22,WN,0.46,114.22,2008_Q3,0.2738
2008,3,"Chicago, IL","Portland, OR",1751,941.3,260.0,UA,0.4,303.45,WN,0.31,206.87,2008_Q3,0.1485
2008,3,"Cleveland, OH (Metropolitan Area)","Las Vegas, NV",1846,940.1,205.95,CO,0.54,227.3,WN,0.24,177.6,2008_Q3,0.1116
2008,3,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",563,940.0,192.4,CO,0.45,254.66,FL,0.35,115.13,2008_Q3,0.3417
2008,3,"Columbus, OH","New York City, NY (Metropolitan Area)",519,937.17,226.13,CO,0.28,282.74,DL,0.2,182.29,2008_Q3,0.4357
2008,3,"Indianapolis, IN","New York City, NY (Metropolitan Area)",700,936.73,248.24,US,0.26,240.96,NW,0.25,235.89,2008_Q3,0.3546
2008,3,"Denver, CO","Orlando, FL",1546,933.47,193.05,UA,0.39,217.16,WN,0.28,165.51,2008_Q3,0.1249
2008,3,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",204,929.56,114.12,WN,0.65,116.61,NK,0.11,66.43,2008_Q3,0.5594
2008,3,"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",314,920.54,148.12,WN,0.48,112.47,WN,0.48,112.47,2008_Q3,0.4717
2008,3,"Orlando, FL","St. Louis, MO",880,917.17,146.89,WN,0.47,153.5,FL,0.18,118.24,2008_Q3,0.1669
2008,3,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",601,903.91,134.07,NK,0.65,116.19,NK,0.65,116.19,2008_Q3,0.2231
2008,3,"Boise, ID","Seattle, WA",399,903.58,98.44,AS,0.57,102.12,WN,0.41,93.31,2008_Q3,0.2467
2008,3,"New York City, NY (Metropolitan Area)","Richmond, VA",325,900.21,137.94,US,0.29,138.44,B6,0.24,108.67,2008_Q3,0.4244
2008,3,"Denver, CO","Detroit, MI",1123,899.13,207.83,NW,0.45,214.5,F9,0.32,180.88,2008_Q3,0.1851
2008,3,"Salt Lake City, UT","San Diego, CA",626,896.3,127.45,DL,0.61,128.18,B6,0.25,110.78,2008_Q3,0.2036
2008,3,"Boston, MA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1222,894.67,158.65,DL,0.34,153.49,US,0.2,149.95,2008_Q3,0.1298
2008,3,"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",356,887.28,147.24,DL,0.72,152.99,FL,0.23,127.52,2008_Q3,0.4136
2008,3,"Albuquerque, NM","Dallas/Fort Worth, TX",580,876.41,156.13,WN,0.68,153.0,WN,0.68,153.0,2008_Q3,0.2692
2008,3,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",1797,875.76,235.41,WN,0.57,226.12,WN,0.57,226.12,2008_Q3,0.131
2008,3,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",453,874.34,128.76,WN,0.74,123.33,WN,0.74,123.33,2008_Q3,0.2842
2008,3,"Philadelphia, PA","Phoenix, AZ",2075,871.95,234.36,US,0.5,261.77,WN,0.24,213.77,2008_Q3,0.1129
2008,3,"Portland, OR","San Diego, CA",933,865.97,191.55,AS,0.56,194.18,WN,0.28,185.43,2008_Q3,0.2053
2008,3,"Cleveland, OH (Metropolitan Area)","Orlando, FL",895,865.76,159.45,CO,0.45,174.26,FL,0.24,139.61,2008_Q3,0.1782
2008,3,"Dallas/Fort Worth, TX","El Paso, TX",562,863.36,145.82,WN,0.68,143.49,WN,0.68,143.49,2008_Q3,0.2595
2008,3,"Denver, CO","Indianapolis, IN",977,862.28,136.2,F9,0.43,132.82,WN,0.3,116.12,2008_Q3,0.1394
2008,3,"Chicago, IL","Salt Lake City, UT",1258,855.65,203.86,DL,0.37,192.53,AA,0.24,181.09,2008_Q3,0.1621
2008,3,"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2073,852.82,285.91,CO,0.59,293.9,FL,0.02,201.81,2008_Q3,0.1379
2008,3,"New York City, NY (Metropolitan Area)","Rochester, NY",285,845.97,131.56,B6,0.71,114.25,B6,0.71,114.25,2008_Q3,0.4616
2008,3,"Charlotte, NC","Los Angeles, CA (Metropolitan Area)",2125,836.52,295.5,US,0.45,359.33,AA,0.11,256.1,2008_Q3,0.1391
2008,3,"Kansas City, MO","Las Vegas, NV",1140,834.78,161.55,WN,0.77,162.25,F9,0.06,148.28,2008_Q3,0.1417
2008,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,834.56,219.8,DL,0.47,227.33,FL,0.18,182.41,2008_Q3,0.1385
2008,3,"Salt Lake City, UT","Washington, DC (Metropolitan Area)",1864,829.56,283.5,DL,0.54,294.58,WN,0.17,256.04,2008_Q3,0.1521
2008,3,"Orlando, FL","San Francisco, CA (Metropolitan Area)",2445,828.91,263.56,UA,0.29,303.69,WN,0.16,237.85,2008_Q3,0.1078
2008,3,"Las Vegas, NV","Orlando, FL",2039,826.84,210.27,US,0.38,221.44,UA,0.11,172.8,2008_Q3,0.1031
2008,3,"Atlanta, GA (Metropolitan Area)","Kansas City, MO",692,822.82,159.18,DL,0.63,163.84,FL,0.31,144.68,2008_Q3,0.23
